term_or_phrase,common_abbreviation,type,chinese,category,scenario,definition_en,definition_cn,example_sentence,translation,difficulty,source_section,knowledge_source,standard_classification,business_domain,term_frequency_level,business_scenario
change in accounting policy,,phrase,会计政策变更,Accounting changes,new standards; voluntary changes | IAS 8,A change from one accounting policy to another policy that is permitted or required by an IFRS Accounting Standard.,会计政策变更，是指从一种会计政策改为另一种由IFRS会计准则允许或要求采用的会计政策。,"However, the change in accounting policy did not have a material effect on the Group's financial statements for the periods presented.",然而，该会计政策变更并未对本集团各列报期间的财务报表产生重大影响。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 369; IAS 8 | IFRS专业词汇.xlsx/Sheet1 row 24 | example: isg-2026-ifs.txt: line 1207 | example: isg-2025-insights-an-overview.txt: line 648 | example: isg-2026-ifs.txt: line 143,IFRS/HKFRS standards term library,IAS 8,Accounting policies / Estimates,4 - High,Financial reporting
impracticable,,term,不可行,Accounting changes,limitations on retrospective application,A requirement is impracticable when the entity cannot apply it after making every reasonable effort to do so.,不可行，是指主体在作出一切合理努力后仍无法应用某项要求。,"OCI should reflect the nature of the cash contribution, unless it is impracticable to identify whether the cost to which the funding relates affects profit or loss or OCI.",其他综合收益应反映该现金出资的性质，除非无法合理判断相关资金对应的成本影响归属于损益还是其他综合收益。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 376; IAS 8 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 10483 | example: isg-2026-ifs.txt: line 2507,IFRS/HKFRS standards term library,IAS 8,Accounting policies / Estimates,4 - High,Financial reporting
prospective application,,phrase,未来适用法,Accounting changes,estimate change | IAS 8,"Application of a change in accounting policy, or recognition of a change in estimate, to transactions and events occurring after the date of the change.",未来适用，是指将会计政策变更或会计估计变更应用于变更日以后发生的交易和事项。,The entity applies a change in accounting estimate using prospective application.,该主体采用未来适用法对会计估计变更进行会计处理。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 375; IAS 8 | IFRS专业词汇.xlsx/Sheet1 row 29,IFRS/HKFRS standards term library,IAS 8,Accounting policies / Estimates,3 - Medium,Financial reporting
retrospective application,,phrase,追溯调整法,Accounting changes,policy change | IAS 8,Application of a new accounting policy to prior-period transactions and events as if that policy had always been applied.,追溯适用，是指如同一项新会计政策一直适用一样，将其应用于以前期间的交易和事项。,The entity applies a change in accounting policy using retrospective application unless it is impracticable to do so.,除非不可行，否则该主体应采用追溯调整法进行会计政策变更。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 373; IAS 8 | IFRS专业词汇.xlsx/Sheet1 row 27 | example: Model Accounts.txt: line 1038 | example: isg-2025-insights-an-overview.txt: line 2189 | example: isg-2025-insights-an-overview.txt: line 2193,IFRS/HKFRS standards term library,IAS 8,Accounting policies / Estimates,5 - Very high / core,Financial reporting
accounting estimates,,phrase,会计估计,Accounting estimates,judgement and estimates note,Monetary amounts in financial statements that are subject to measurement uncertainty.,会计估计，是指财务报表中存在计量不确定性的货币金额。,Evaluate the appropriateness of accounting policies used and the reasonableness of accounting estimates and related disclosures made by management.,评价管理层所采用会计政策的适当性以及所作会计估计及相关披露的合理性。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 371; IAS 8 | example: Illust_FS(12.25).txt: line 4274 | example: isg-2026-ifs.txt: line 445,IFRS/HKFRS standards term library,IAS 8,Accounting policies / Estimates,5 - Very high / core,Financial reporting
change in accounting estimate,,phrase,会计估计变更,Accounting estimates,depreciation; ECL; impairment | IAS 8,"An adjustment to an asset, liability or related expense resulting from new information or new developments.",会计估计变更，是指因新信息或新情况导致对资产、负债或相关费用作出的调整。,An audit response is designed around risks linked to change in accounting estimate.,审计应对措施系围绕与会计估计变更相关的风险进行设计。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 370; IAS 8 | IFRS专业词汇.xlsx/Sheet1 row 25 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 5805 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 6874,IFRS/HKFRS standards term library,IAS 8,Audit,4 - High,Audit
accounting policies,,phrase,会计政策,Accounting policies,policy note; judgement | 会计政策,"The specific principles, bases, conventions, rules and practices applied by an entity in preparing and presenting financial statements.",会计政策，是指主体编制和列报财务报表时采用的具体原则、基础、惯例、规则和做法。,Substance over form is considered when assessing accounting policies.,在评估会计政策时，应考虑实质重于形式原则。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 368; IAS 8 | IFRS专业词汇.xlsx/Sheet1 row 22 | example: Illust_FS(12.25).txt: line 2609 | example: Illust_FS(12.25).txt: line 12468 | example: isg-2026-ifs.txt: line 445,IFRS/HKFRS standards term library,IAS 8,Accounting policies / Estimates,5 - Very high / core,Financial reporting
group of insurance contracts,,phrase,保险合同组,Aggregation,onerous/profitable groups,A set of insurance contracts managed together and recognised as the unit of account under IFRS 17.,保险合同组，是指在IFRS 17下作为计量和确认单位的一组共同管理的保险合同。,Auditors test the evidence supporting management's use of group of insurance contracts.,审计师对支持管理层运用保险合同组合的证据进行检验。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 296; IFRS 17 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 31637,IFRS/HKFRS standards term library,IFRS 17,Audit,4 - High,Audit
portfolio of insurance contracts,,phrase,保险合同组合,Aggregation,insurance measurement,Insurance contracts that are subject to similar risks and managed together.,保险合同组合，是指面临类似风险并共同管理的保险合同。,Revenue accounting depends on portfolio of insurance contracts.,收入确认取决于保险合同组合的会计处理。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 295; IFRS 17 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 23811 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 31938,IFRS/HKFRS standards term library,IFRS 17,Insurance,4 - High,Financial reporting
agricultural activity,,phrase,农业活动,Agriculture,biological transformation,Management of biological transformation and harvest of biological assets for sale or conversion into agricultural produce.,农业活动，是指对生物资产的生物转化和收获进行管理，以供销售或转化为农产品。,Professional judgement is applied when interpreting agricultural activity.,在解释农业活动时，需要运用专业判断。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 556; IAS 41 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9555,IFRS/HKFRS standards term library,IAS 41,Agriculture,4 - High,Financial reporting
